date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2022-11-01,3,57.0,57.18333333333333,14.0,1.0,0.0
2022-11-02,6,58.0,59.18333333333334,80.5,0.8333333333333334,0.0
2022-11-03,6,58.0,62.74166666666667,160.5,0.6666666666666666,0.0
2022-11-04,6,58.0,57.275,16.0,0.8333333333333334,0.0
2022-11-05,3,57.0,57.1,22.0,1.0,0.0
2022-11-06,3,57.0,56.516666666666666,-16.0,1.0,0.0
2022-11-07,6,58.0,59.40833333333333,175.5,0.6666666666666666,0.0
2022-11-08,6,58.0,57.38333333333333,307.5,0.5,0.0
2022-11-09,1,48.0,48.3,45.0,1.0,0.0
2022-11-10,6,58.0,59.34166666666667,97.0,0.6666666666666666,0.0
2022-11-14,6,58.0,57.55,97.5,0.8333333333333334,0.0
2022-11-15,6,58.0,59.44166666666666,37.5,0.8333333333333334,0.0
2022-11-16,6,58.0,58.25833333333333,58.5,1.0,0.0
2022-11-17,6,58.0,64.46666666666667,755.5,0.3333333333333333,0.0
2022-11-18,6,58.0,58.95,75.0,0.8333333333333334,0.0
2022-11-19,3,57.0,56.13333333333333,34.0,0.6666666666666666,0.0
2022-11-20,3,57.0,58.06666666666667,77.0,1.0,0.0
2022-11-21,6,58.0,58.458333333333336,269.5,0.8333333333333334,0.0
2022-11-22,6,58.0,58.74166666666667,49.0,0.8333333333333334,0.0
2022-11-23,6,58.0,59.05,195.5,0.6666666666666666,0.0
2022-11-24,6,58.0,59.125,92.5,0.6666666666666666,0.0
2022-11-25,6,58.0,59.21666666666667,108.5,0.8333333333333334,0.0
2022-11-26,3,57.0,57.86666666666667,207.0,1.0,0.0
2022-11-27,3,57.0,57.25,84.0,1.0,0.0
2022-11-28,6,58.0,62.75833333333333,309.0,0.5,0.0
2022-11-29,3,49.0,52.25,211.0,1.0,0.0
2022-11-30,4,49.0,48.55833333333334,22.5,1.0,0.0
