date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2024-11-04,6,58.0,60.02499999999999,107.5,0.6666666666666666,0.0
2024-11-05,6,58.0,63.375,259.0,0.5,0.0
2024-11-06,6,58.0,65.16666666666666,292.0,0.5,0.0
2024-11-07,6,58.0,59.208333333333336,167.5,1.0,0.0
2024-11-08,6,58.0,55.49166666666667,0.5,1.0,0.0
2024-11-11,3,57.0,56.18333333333333,-31.0,1.0,0.0
2024-11-12,6,58.0,66.225,529.5,0.5,0.0
2024-11-13,6,58.0,58.80833333333334,107.5,0.6666666666666666,0.0
2024-11-14,6,58.0,58.75,34.5,0.8333333333333334,0.0
2024-11-15,6,58.0,60.25833333333333,300.0,0.5,0.0
2024-11-16,6,48.0,49.333333333333336,83.5,0.8333333333333334,0.0
2024-11-17,6,48.0,50.099999999999994,84.0,1.0,0.0
2024-11-18,6,58.0,59.00833333333333,147.0,0.6666666666666666,0.0
2024-11-19,6,58.0,59.49166666666667,271.5,0.5,0.0
2024-11-20,6,58.0,58.983333333333334,74.5,0.6666666666666666,0.0
2024-11-21,6,58.0,61.233333333333334,233.5,0.8333333333333334,0.0
2024-11-22,6,58.0,56.775,80.0,0.8333333333333334,0.0
2024-11-25,6,58.0,58.80833333333334,113.0,1.0,0.0
2024-11-26,6,58.0,59.78333333333333,69.0,0.8333333333333334,0.0
2024-11-27,6,58.0,58.775000000000006,208.5,0.8333333333333334,0.0
2024-11-28,6,58.0,65.4,205.0,0.5,0.0
2024-11-29,6,58.0,59.875,156.0,0.6666666666666666,0.0
2024-11-30,3,67.0,67.03333333333333,-9.0,1.0,0.0
