date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2026-01-01,3,63.0,62.916666666666664,40.0,1.0,0.0
2026-01-02,6,58.0,61.041666666666664,20.5,0.6666666666666666,0.0
2026-01-03,3,63.0,63.916666666666664,78.0,1.0,0.0
2026-01-04,3,63.0,63.333333333333336,111.0,1.0,0.0
2026-01-05,6,58.0,58.575,105.5,1.0,0.0
2026-01-06,6,58.0,57.79166666666667,98.0,0.8333333333333334,0.0
2026-01-07,5,66.0,66.85,32.0,1.0,0.0
2026-01-08,6,58.0,59.30833333333334,18.0,1.0,0.0
2026-01-09,6,58.0,57.44166666666666,108.0,0.8333333333333334,0.0
2026-01-10,3,63.0,63.85,128.0,1.0,0.0
2026-01-11,3,63.0,63.53333333333333,49.0,1.0,0.0
2026-01-12,5,66.0,67.56666666666666,218.0,0.8,0.0
2026-01-13,6,58.0,57.09166666666667,8.0,1.0,0.0
2026-01-14,6,58.0,57.04166666666667,13.5,1.0,0.0
2026-01-15,6,58.0,58.199999999999996,9.5,1.0,0.0
2026-01-16,6,58.0,57.49166666666667,29.0,0.8333333333333334,0.0
2026-01-17,3,63.0,64.53333333333333,96.0,1.0,0.0
2026-01-18,3,63.0,63.85,65.0,1.0,0.0
2026-01-19,6,58.0,56.05,38.5,1.0,0.0
2026-01-20,6,58.0,57.36666666666666,39.5,1.0,0.0
2026-01-21,6,58.0,58.54166666666667,88.5,1.0,0.0
2026-01-22,6,58.0,62.141666666666666,97.5,0.8333333333333334,0.0
2026-01-23,6,58.0,57.84166666666667,-17.5,1.0,0.0
2026-01-26,6,58.0,58.18333333333333,24.0,0.8333333333333334,0.0
2026-01-27,6,58.0,57.3,48.0,1.0,0.0
2026-01-28,6,58.0,57.61666666666666,52.5,0.8333333333333334,0.0
2026-01-29,6,58.0,58.18333333333334,2.5,1.0,0.0
2026-01-30,6,58.0,57.083333333333336,-2.5,1.0,0.0
2026-01-31,3,63.0,64.46666666666667,111.0,1.0,0.0
